pool,序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,涨停价,涨速,振幅,是否新高,量比,入选理由,昨日封板时间,昨日连板数
zt,1,002909,集泰股份,10.027472496032715,8.01,368352048,3047223337.83,3123900000.0,12.09166145324707,85855265.0,092500,100154,1.0,4/4,4.0,化学制品,,,,,,,,
zt,2,002059,云南旅游,10.095237731933594,5.78,144705028,5724472961.88,5851873236.4800005,2.527831554412842,185568217.0,092500,092500,0.0,2/2,2.0,旅游及景,,,,,,,,
zt,3,605398,新炬网络,9.981851577758789,24.24,44250629,3944245026.9599996,3944245026.9599996,1.121903657913208,85283107.0,092502,092502,0.0,1/1,1.0,IT服务Ⅱ,,,,,,,,
zt,4,601086,国芳集团,10.0,12.21,712550784,8131860000.000001,8131860000.000001,8.77181625366211,106777707.0,093037,094210,2.0,5/5,5.0,一般零售,,,,,,,,
zt,5,002300,太阳电缆,9.960680961608887,8.39,486964768,6060028285.900001,6060379709.440001,8.290498733520508,120358929.0,093203,093203,0.0,2/2,2.0,电网设备,,,,,,,,
zt,6,300830,金现代,19.97621726989746,10.09,339677200,3399671849.48,4557055187.68,10.164310455322266,102662309.0,093206,093206,0.0,1/1,1.0,软件开发,,,,,,,,
zt,7,605577,龙版传媒,10.038910865783691,14.14,675954656,6284444452.3,6284444494.72,11.122936248779297,41257720.0,093208,141259,2.0,4/4,4.0,出版,,,,,,,,
zt,8,603138,海量数据,10.015174865722656,14.5,137890507,4180971325.0,4257355208.0,3.353175163269043,57999492.0,093226,093256,1.0,1/1,1.0,IT服务Ⅱ,,,,,,,,
zt,9,603728,鸣志电器,10.0,53.35,461910496,22347381375.0,22347381161.600002,2.0765914916992188,40216403.0,093256,093420,1.0,1/1,1.0,电机Ⅱ,,,,,,,,
zt,10,603270,金帝股份,10.009443283081055,34.95,308765136,2471547511.65,7657778011.650001,12.772638320922852,76655939.0,093351,093351,0.0,4/3,2.0,通用设备,,,,,,,,
zt,11,002980,华盛昌,10.004125595092773,106.66,1558886128,10803252114.539999,20095941151.84,14.672252655029297,54289940.0,093418,135442,2.0,1/1,1.0,电网设备,,,,,,,,
zt,12,603162,海通发展,10.0,13.31,1022411152,5622625475.940001,18301005521.920002,18.357364654541016,39255329.0,093424,133006,5.0,1/1,1.0,航运港口,,,,,,,,
zt,13,600703,三安光电,9.97624683380127,13.89,3458214352,69297470118.03,69297468687.36,5.031612396240234,197594736.0,093512,100512,2.0,1/1,1.0,光学光电,,,,,,,,
