pool,序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,涨停价,涨速,振幅,是否新高,量比,入选理由,昨日封板时间,昨日连板数
zt,1,001376,百通能源,9.991312026977539,12.66,147380124,2721777362.58,6185676000.0,5.414848804473877,106626318.0,092500,092500,0.0,1/1,1.0,电力,,,,,,,,
zt,2,002453,华软科技,10.103093147277832,5.34,446859296,3434161892.52,4338040420.8,13.440363883972168,39242575.0,092500,104115,1.0,2/2,2.0,化学制品,,,,,,,,
zt,3,301390,经纬股份,20.0,54.0,238877748,2649033720.0,3240000000.0,9.017542839050293,98828640.0,092500,092500,0.0,2/2,2.0,工程咨询,,,,,,,,
zt,4,600448,华纺股份,9.937888145446777,3.54,170998029,2229561603.48,2229561610.56,7.669580936431885,68793457.0,092501,092501,0.0,2/2,2.0,纺织制造,,,,,,,,
zt,5,603230,内蒙新华,10.040816307067871,13.48,867115984,4765490040.0,4765490147.84,18.46648406982422,32045451.0,092501,141307,6.0,3/3,3.0,出版,,,,,,,,
zt,6,603686,福龙马,10.028449058532715,15.47,347757856,6426708349.88,6426708288.0,5.411704063415527,133395272.0,093002,093002,0.0,1/1,1.0,环境治理,,,,,,,,
zt,7,000504,南华生物,10.0,10.01,187856694,3294515203.98,3303531271.04,5.747257232666016,75129054.0,093009,093139,1.0,2/2,2.0,医疗服务,,,,,,,,
zt,8,001216,华瓷股份,10.01006031036377,21.87,496116528,5398307672.13,6385128808.320001,9.296019554138184,98271095.0,093009,095639,1.0,4/4,4.0,家居用品,,,,,,,,
zt,9,600630,龙头股份,9.94694995880127,8.29,327029680,3522102639.1299996,3522102663.9999995,9.330074310302734,84059820.0,093023,093411,1.0,2/2,2.0,服装家纺,,,,,,,,
zt,10,603248,锡华科技,9.982094764709473,24.57,564540096,1756876646.07,11302200000.0,33.2144660949707,48929213.0,093058,095255,1.0,4/4,4.0,风电设备,,,,,,,,
zt,11,603626,科森科技,10.0046968460083,23.42,1564890480,12995282339.800001,12995282480.320002,12.178646087646484,63193951.0,093141,110517,5.0,5/3,2.0,消费电子,,,,,,,,
zt,12,001233,海安集团,9.990346908569336,45.58,147176213,1718964328.6599998,8476664563.719999,8.610479354858398,14361984.0,093239,094148,3.0,1/1,1.0,汽车零部,,,,,,,,
zt,13,002298,中电鑫龙,10.024450302124023,9.0,412507184,5987925108.0,6660998064.0,6.945181369781494,79160967.0,093336,093354,1.0,1/1,1.0,电网设备,,,,,,,,
zt,14,002836,新宏泽,9.963099479675293,11.92,148224485,2746368000.0,2746368000.0,5.49567174911499,278374578.0,093400,093633,2.0,2/2,2.0,包装印刷,,,,,,,,
zt,15,600640,国脉文化,10.03649616241455,12.06,282017296,9546109160.4,9546109208.640001,3.0165693759918213,39756441.0,093500,101251,1.0,1/1,1.0,广告营销,,,,,,,,
zt,16,002589,瑞康医药,10.1010103225708,3.27,314027440,4465484361.96,4920403217.28,7.116412162780762,48221709.0,093503,093503,0.0,1/1,1.0,医药商业,,,,,,,,
zt,17,002285,世联行,9.885931968688965,2.89,711357808,5719337111.09,5759275925.6,12.889113426208496,41009813.0,093515,132506,1.0,3/3,3.0,房地产服,,,,,,,,
zt,18,001317,三羊马,10.010090827941895,54.51,201271270,4660742201.67,4664191648.98,4.4138641357421875,113021143.0,093542,093542,0.0,1/1,1.0,铁路公路,,,,,,,,
zt,19,000910,大亚圣象,10.058026313781738,5.69,59706498,3113767861.25,3114691797.76,1.9483506679534912,45739065.0,093733,093803,1.0,1/1,1.0,家居用品,,,,,,,,
zt,20,002134,天津普林,9.983766555786133,27.1,883303696,6685748318.0,6715862271.6,13.354762077331543,39796350.0,093827,102745,5.0,1/1,1.0,元件,,,,,,,,
zt,21,603120,肯特催化,9.994426727294922,59.21,336039808,2244059000.0,5352584000.0,15.126148223876953,32214325.0,093841,094853,2.0,1/1,1.0,化学制品,,,,,,,,
zt,22,603316,诚邦股份,10.019776344299316,16.69,673294240,4410566160.0,4506283443.52,15.49608325958252,39868571.0,093914,100605,3.0,1/1,1.0,半导体,,,,,,,,
zt,23,603138,海量数据,10.035335540771484,15.57,377860960,4489498174.5,4571518661.28,8.58446979522705,74182797.0,094057,094142,1.0,1/1,1.0,IT服务Ⅱ,,,,,,,,
zt,24,601579,会稽山,10.01675033569336,32.84,727993776,15745578351.560001,15745578318.720001,4.76100492477417,56054596.0,094207,094304,1.0,8/4,1.0,非白酒,,,,,,,,
zt,25,000509,华塑控股,9.91253662109375,3.77,308789680,4045680526.16,4045692740.96,7.719494342803955,14737684.0,094330,132921,5.0,1/1,1.0,光学光电,,,,,,,,
zt,26,002849,威星智能,10.016242027282715,20.32,544777184,4443808069.440001,4483283205.12,12.425174713134766,13435584.0,094403,110024,5.0,1/1,1.0,通用设备,,,,,,,,
zt,27,002161,远 望 谷,10.015174865722656,7.25,380926448,5362167787.5,5363241208.0,7.327219486236572,82801815.0,094415,094415,0.0,6/3,1.0,其他电子,,,,,,,,
zt,28,603353,和顺石油,9.990938186645508,48.55,583455776,8273793899.999999,8273793899.999999,7.201042175292969,25002279.0,094459,103026,5.0,4/2,1.0,炼化及贸,,,,,,,,
zt,29,002300,太阳电缆,10.02538013458252,8.67,649264240,6262269992.7,6262633144.32,10.632800102233887,77512531.0,094509,094509,0.0,3/2,1.0,电网设备,,,,,,,,
zt,30,002713,东易日盛,9.969788551330566,10.92,275149296,5723347364.28,10389344609.28,4.882471084594727,80804025.0,094509,094933,1.0,1/1,1.0,装修装饰,,,,,,,,
zt,31,603402,陕西旅游,10.00856876373291,64.19,260886621,1613308709.46,6453234709.46,16.597742080688477,43884841.0,094519,094519,0.0,1/1,1.0,旅游及景,,,,,,,,
zt,32,600343,航天动力,10.0,21.67,737368528,13829931561.160002,13829931647.84,5.456145286560059,71521444.0,094526,094526,0.0,1/1,1.0,通用设备,,,,,,,,
zt,33,688292,浩瀚深度,20.020854949951172,23.02,236030039,3645238892.02,3645238892.02,6.8113250732421875,68637375.0,094550,094550,0.0,1/1,1.0,计算机设,,,,,,,,
zt,34,002965,祥鑫科技,10.007072448730469,31.11,534717376,7402398828.059999,8255982968.49,7.50767183303833,101984242.0,094739,094739,0.0,1/1,1.0,汽车零部,,,,,,,,
zt,35,600847,万里股份,10.039525032043457,13.92,135333040,2133760608.0,2133760608.0,6.504436016082764,17337360.0,094903,110527,2.0,1/1,1.0,电池,,,,,,,,
zt,36,002471,中超控股,9.963099479675293,5.96,564313232,8010553126.48,8157809600.0,7.129463195800781,86731827.0,095000,095000,0.0,1/1,1.0,电网设备,,,,,,,,
zt,37,605188,国光连锁,9.974852561950684,13.12,232677376,6661634080.0,6661634027.5199995,3.58445405960083,28636499.0,095036,095100,1.0,1/1,1.0,一般零售,,,,,,,,
zt,38,603122,合富中国,10.0,13.64,667436960,5429437914.12,5429438009.6,12.714537620544434,51737884.0,095044,095538,1.0,3/2,1.0,医疗服务,,,,,,,,
zt,39,601123,马矿股份,10.024752616882324,17.78,371712064,1703826427.24,21951385429.120003,22.487913131713867,98503422.0,095157,095157,0.0,1/1,1.0,冶钢原料,,,,,,,,
zt,40,603068,博通集成,10.002762794494629,39.81,510324864,6042653169.39,6042653169.39,8.595437049865723,93167343.0,095226,095547,1.0,1/1,1.0,半导体,,,,,,,,
zt,41,601086,国芳集团,10.0,16.06,1738203712,10695960000.0,10695960000.0,16.8282527923584,33987778.0,095317,131202,9.0,16/8,1.0,一般零售,,,,,,,,
zt,42,603001,奥康国际,10.021097183227539,10.43,258808660,4182221400.0,4182221400.0,6.418837547302246,22825012.0,095355,101234,4.0,1/1,1.0,服装家纺,,,,,,,,
zt,43,003041,真爱美家,10.0,42.02,219299663,5749037229.76,6050880000.0,3.8797459602355957,37591092.0,095512,101151,1.0,1/1,1.0,服装家纺,,,,,,,,
zt,44,002185,华天科技,10.006101608276367,18.03,6386880000,59968258371.96001,59981445009.12,10.917194366455078,716993258.0,100233,100942,1.0,1/1,1.0,半导体,,,,,,,,
zt,45,603232,格尔软件,9.97977066040039,16.31,483167184,3772502918.45,3792818654.45,13.059541702270508,44648625.0,100408,110802,1.0,1/1,1.0,软件开发,,,,,,,,
zt,46,603725,天安新材,10.018726348876953,11.75,270601360,3582077740.0,3582077740.0,7.695542812347412,39111050.0,100426,102320,1.0,1/1,1.0,家居用品,,,,,,,,
zt,47,603375,盛景微,10.002127647399902,51.69,544661712,3296836220.0099998,5203460017.23,16.746097564697266,16425272.0,100523,133747,6.0,1/1,1.0,半导体,,,,,,,,
zt,48,001238,浙江正特,9.991639137268066,26.31,41566884,3826079024.7599998,4081943880.0,1.1102749109268188,4305421.0,100851,101754,2.0,1/1,1.0,文娱用品,,,,,,,,
zt,49,002623,亚玛顿,9.97624683380127,18.52,313267968,3567621275.7599998,3575517740.7599998,9.008864402770996,24031552.0,101048,102721,1.0,1/1,1.0,光伏设备,,,,,,,,
zt,50,001211,双枪科技,9.987250328063965,25.88,124232982,2415642357.36,2588000000.0,5.29569149017334,62773466.0,101151,101151,0.0,1/1,1.0,家居用品,,,,,,,,
zt,51,002029,七 匹 狼,10.024450302124023,9.0,348954000,5988653631.0,6345211824.0,5.970156669616699,34491978.0,101303,103445,1.0,1/1,1.0,服装家纺,,,,,,,,
zt,52,601026,道生天合,10.0,15.95,177291890,1771816755.5,10517430000.0,10.30375862121582,30932233.0,102543,102622,1.0,1/1,1.0,风电设备,,,,,,,,
zt,53,001399,惠科股份,10.018993377685547,23.17,1466416528,9976231157.27,171627190676.48,15.015969276428223,86044112.0,103527,103527,0.0,1/1,1.0,光学光电,,,,,,,,
zt,54,601133,柏诚股份,9.98307991027832,26.0,394136080,13634055344.0,13680584736.0,2.995009183883667,58330194.0,103724,103724,0.0,1/1,1.0,专业工程,,,,,,,,
zt,55,002971,和远气体,10.0,42.68,1038442400,6871674023.28,8988130580.0,15.531045913696289,72931157.0,104109,104109,0.0,1/1,1.0,化学制品,,,,,,,,
zt,56,600127,金健米业,9.984639167785645,14.32,4160809344,9190335681.76,9190335653.12,47.06491470336914,31688728.0,104156,142417,35.0,2/2,2.0,农产品加,,,,,,,,
zt,57,600838,上海九百,9.98719596862793,8.59,186156677,3443576216.79,3443576242.56,5.550406455993652,37542595.0,104443,105115,1.0,1/1,1.0,一般零售,,,,,,,,
zt,58,920298,腾信精密,30.000001907348633,90.48,827694944,1384344000.0,7057440000.0,67.27347564697266,47044895.0,104758,130001,2.0,1/1,1.0,专用设备,,,,,,,,
zt,59,688175,高凌信息,19.977924346923828,21.74,247409618,3654757053.9999995,3654757053.9999995,7.152559280395508,16620012.0,104811,131617,2.0,1/1,1.0,军工电子,,,,,,,,
zt,60,002005,德豪润达,9.91735553741455,2.66,168037975,4660301800.280001,4661450138.240001,3.6834447383880615,8754850.0,104818,132924,2.0,1/1,1.0,小家电,,,,,,,,
zt,61,601811,新华文轩,9.968354225158691,13.9,389949472,11007464210.0,17150390011.2,3.6725199222564697,35206114.0,105614,112232,2.0,1/1,1.0,出版,,,,,,,,
zt,62,001229,魅视科技,10.013755798339844,39.99,208145241,2949310727.94,5735849679.0,7.402834892272949,63216192.0,110239,110239,0.0,1/1,1.0,计算机设,,,,,,,,
zt,63,301583,托伦斯,20.0,142.56,1675296896,4395320534.88,26441129531.52,41.15837478637695,100300796.0,110336,110336,0.0,1/1,1.0,半导体,,,,,,,,
zt,64,001212,中旗新材,9.991312026977539,37.98,332054128,6860192533.0199995,7632446519.5199995,4.977301120758057,121903418.0,110936,110936,0.0,1/1,1.0,装修建材,,,,,,,,
zt,65,603118,共进股份,10.029850959777832,18.43,1624579312,14509504162.58,14509504052.0,11.697000503540039,142957510.0,111311,111311,0.0,1/1,1.0,通信设备,,,,,,,,
zt,66,600621,华鑫股份,9.984399795532227,14.1,584159408,14958680017.199999,14958680073.6,4.009838104248047,80256368.0,111811,111839,1.0,1/1,1.0,证券Ⅱ,,,,,,,,
zt,67,000532,华金资本,10.016977310180664,12.96,436289072,4452404708.16,4467420034.56,10.08335018157959,36000288.0,112827,131239,1.0,1/1,1.0,多元金融,,,,,,,,
zt,68,600577,精达股份,9.96216869354248,8.72,1158224576,19461421027.36,19461421009.920002,6.1186394691467285,60708980.0,130244,144514,1.0,1/1,1.0,电网设备,,,,,,,,
zt,69,600606,绿地控股,9.848484992980957,1.45,502158656,20378616555.3,20378616448.0,2.550983428955078,57957752.0,131437,131437,0.0,1/1,1.0,房地产开,,,,,,,,
zt,70,600719,大连热电,10.065360069274902,8.42,336252640,3406728632.0,3406728632.0,10.162467002868652,21839796.0,131523,141520,1.0,1/1,1.0,电力,,,,,,,,
zt,71,301689,电科思仪,20.0,63.0,1588249888,3626371476.0,58457947968.0,49.33680725097656,149667273.0,131539,131539,0.0,1/1,1.0,通用设备,,,,,,,,
zt,72,603016,新宏泰,9.996391296386719,30.48,171435422,4515916800.0,4515916800.0,3.9343149662017822,61865256.0,132004,132004,0.0,1/1,1.0,电网设备,,,,,,,,
zt,73,000410,沈阳机床,10.079051971435547,5.57,366852656,10978572114.810001,14755336654.560001,3.446221351623535,24466859.0,132812,132812,0.0,1/1,1.0,通用设备,,,,,,,,
zt,74,002980,华盛昌,10.000859260559082,128.03,1982778928,12967751436.57,24122289008.72,16.014699935913086,104887297.0,133521,145300,1.0,1/1,1.0,电网设备,,,,,,,,
zt,75,001332,锡装股份,10.011419296264648,28.9,139343133,1942221638.8999999,4470425400.0,7.444227695465088,42940198.0,141518,141518,0.0,1/1,1.0,专用设备,,,,,,,,
zt,76,600261,阳光照明,10.031347274780273,3.51,305600528,4686035910.66,4686035889.599999,6.671535491943359,3570723.0,141957,144445,2.0,1/1,1.0,照明设备,,,,,,,,
zt,77,000002,万  科Ａ,9.933774948120117,3.32,1419831680,32254175671.28,39609955553.28,4.537520408630371,56504046.0,142218,142218,0.0,1/1,1.0,房地产开,,,,,,,,
zt,78,600881,亚泰集团,10.285714149475098,1.93,294120288,6238051406.84,6238051414.559999,4.965109348297119,23589500.0,143328,143328,0.0,1/1,1.0,综合Ⅱ,,,,,,,,
zbgc,1,002080,中材科技,2.6069176197052,60.22,6872577280,101056602228.48,101056602228.48,6.7050981521606445,,092500,,1.0,0/0,,玻璃玻纤,64.56,0.0,11.518146514892578,,,,,
zbgc,2,003026,中晶科技,0.5405405759811401,37.2,2225844624,5362784736.0,7052348100.000001,39.654319763183594,,092500,,3.0,4/3,,半导体,40.7,0.0,10.675675392150879,,,,,
