pool,序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,涨停价,涨速,振幅,是否新高,量比,入选理由,昨日封板时间,昨日连板数
zt,1,001216,华瓷股份,9.981740951538086,18.07,75532907,4460330115.93,5275687131.52,1.6934375762939453,133558676.0,092500,092500,0.0,2/2,2.0,家居用品,,,,,,,,
zt,2,002442,龙星科技,10.077519416809082,5.68,126778986,2791781156.56,2859162502.3999996,4.5411505699157715,45342304.0,092500,092500,0.0,1/1,1.0,橡胶,,,,,,,,
zt,3,003001,中岩大地,10.005955696105957,18.47,117358035,2112063006.9399998,3223945777.18,5.556595802307129,94952423.0,093000,093000,0.0,1/1,1.0,专业工程,,,,,,,,
zt,4,603248,锡华科技,10.021668434143066,20.31,160047802,1452265554.81,9342600000.0,11.04753589630127,67743395.0,093002,093611,1.0,2/2,2.0,风电设备,,,,,,,,
zt,5,002068,黑猫股份,9.978307723999023,10.14,376181616,7452959024.940001,7456400328.0,5.0889739990234375,160883734.0,093018,093018,0.0,1/1,1.0,橡胶,,,,,,,,
zt,6,603082,北自科技,10.008305549621582,52.98,714451568,2148704562.0,8825043314.82,33.464378356933594,57991749.0,093041,110138,5.0,2/2,2.0,自动化设,,,,,,,,
zt,7,002846,英联股份,10.008627891540527,12.75,305941904,3460245462.75,5354918808.0,8.885948181152344,41162380.0,093124,093124,0.0,2/2,2.0,包装印刷,,,,,,,,
zt,8,600644,乐山电力,9.957627296447754,10.38,498487808,6002970090.84,6002970070.080001,8.387983322143555,53124902.0,093209,100700,1.0,1/1,1.0,电力,,,,,,,,
zt,9,003026,中晶科技,10.006540298461914,33.64,509792032,4849572003.2,6377445970.0,10.736010551452637,106535357.0,093212,093448,2.0,2/2,2.0,半导体,,,,,,,,
zt,10,002584,西陇科学,10.023041725158691,9.55,528102064,4594880677.900001,5588816772.8,11.743729591369629,148050785.0,093224,093224,0.0,2/2,2.0,电子化学,,,,,,,,
zt,11,002617,露笑科技,10.031347274780273,7.02,767538128,13180905120.24,13402401143.039999,5.9126739501953125,155561283.0,093406,093406,0.0,1/1,1.0,电力,,,,,,,,
zt,12,605058,澳弘电子,10.0,44.33,462543456,6335870569.599999,6335870569.599999,7.6002020835876465,68033251.0,093436,093754,1.0,4/4,4.0,元件,,,,,,,,
zt,13,003031,中瓷电子,10.0,137.72,825492912,62118999741.479996,62119000430.08,1.3555132150650024,256364678.0,093506,093506,0.0,1/1,1.0,通信设备,,,,,,,,
zt,14,603042,华脉科技,10.0,17.16,339419824,3582438150.7200003,3582438150.7200003,9.721922874450684,97875886.0,093550,093550,0.0,8/4,1.0,通信设备,,,,,,,,
zt,15,603122,合富中国,9.974640846252441,13.01,418341856,5178664755.33,5178664846.4,8.203993797302246,57109997.0,093614,100350,2.0,1/1,1.0,医疗服务,,,,,,,,
zt,16,002300,太阳电缆,9.973752975463867,8.38,385979600,6052805367.8,6053156372.4800005,6.520051956176758,101697082.0,093615,093615,0.0,1/1,1.0,电网设备,,,,,,,,
zt,17,000993,闽东电力,10.0,18.48,1811384816,8462942888.400001,8462942906.88,21.759681701660156,43368956.0,093651,135727,20.0,6/6,6.0,电力,,,,,,,,
zt,18,605566,福莱蒽特,10.011966705322266,27.58,92962496,3677517200.0,3677517200.0,2.5718464851379395,60731160.0,093735,093956,1.0,1/1,1.0,化学制品,,,,,,,,
zt,19,603230,内蒙新华,9.97038459777832,11.14,127062155,3938246220.0,3938246309.1200004,3.2969000339508057,38346108.0,093825,093825,0.0,1/1,1.0,出版,,,,,,,,
