pool,序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,涨停价,涨速,振幅,是否新高,量比,入选理由,昨日封板时间,昨日连板数
zt,1,000504,南华生物,9.990917205810547,12.11,71297625,3985672239.7799997,3996579789.4399996,1.7888481616973877,272598522.0,092500,092500,0.0,4/4,4.0,医疗服务,,,,,,,,
zt,2,000607,华媒控股,9.933774948120117,4.98,99855708,4407609596.64,5068138111.68,2.2655298709869385,149326061.0,092500,092500,0.0,2/2,2.0,广告营销,,,,,,,,
zt,3,000756,新华制药,10.0204496383667,16.14,1563389472,8051808783.54,11244470721.6,19.4515438079834,61147164.0,092500,101027,7.0,2/2,2.0,化学制药,,,,,,,,
zt,4,001216,华瓷股份,10.01662540435791,26.47,48414477,6533754187.53,7728137153.92,0.740990161895752,259140452.0,092500,092500,0.0,6/6,6.0,家居用品,,,,,,,,
zt,5,002290,禾盛新材,10.004239082336426,77.85,270355616,19254392781.3,19315544890.5,1.4041242599487305,308716043.0,092500,092500,0.0,1/1,1.0,家电零部,,,,,,,,
zt,6,002614,奥佳华,10.079999923706055,6.88,82802947,3035974139.68,4291325696.0,2.7273929119110107,110766541.0,092500,092500,0.0,2/2,2.0,其他家电,,,,,,,,
zt,7,600743,华远控股,9.871244430541992,2.56,23129316,6006018237.440001,6006018252.8,0.3851023316383362,108447260.0,092500,092500,0.0,2/2,2.0,房地产服,,,,,,,,
zt,8,600770,综艺股份,9.950248718261719,6.63,135485349,8619000000.0,8619000000.0,1.571938157081604,133164213.0,092501,092501,0.0,1/1,1.0,综合Ⅱ,,,,,,,,
zt,9,600825,新华传媒,9.931507110595703,6.42,22383972,6708179997.0,6708180035.5199995,0.33368173241615295,2146426334.0,092502,092502,0.0,2/2,2.0,出版,,,,,,,,
zt,10,601811,新华文轩,10.006540298461914,16.82,68201736,13319823598.0,20753205754.56,0.5120318531990051,143779042.0,092502,092502,0.0,3/3,3.0,出版,,,,,,,,
zt,11,603636,南威软件,10.027472496032715,8.01,136712405,4648687789.23,4648687829.28,2.9408817291259766,96513162.0,092502,092502,0.0,2/2,2.0,IT服务Ⅱ,,,,,,,,
zt,12,001234,泰慕士,10.00376033782959,29.25,126493342,2677588875.0,3176245800.0,4.736817836761475,250279760.0,093000,093000,0.0,2/2,2.0,服装家纺,,,,,,,,
zt,13,002303,美盈森,10.047846794128418,6.9,450105648,7364808322.5,10566133392.0,6.11741828918457,72089130.0,093000,093900,1.0,5/3,2.0,包装印刷,,,,,,,,
zt,14,605218,伟时电子,10.006901741027832,15.94,172916000,3870466652.74,3870466652.74,4.477331161499023,3199158.0,093017,093017,0.0,1/1,1.0,光学光电,,,,,,,,
zt,15,000676,智度股份,10.044313430786133,7.45,1277652016,9379761073.4,9385429659.2,13.77323055267334,30385048.0,093033,101121,8.0,1/1,1.0,广告营销,,,,,,,,
