pool,序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,涨停价,涨速,振幅,是否新高,量比,入选理由,昨日封板时间,昨日连板数
zt,1,000504,南华生物,9.990009307861328,11.01,58783810,3623637601.98,3633554375.04,1.6222320795059204,183280948.0,092500,092500,0.0,3/3,3.0,医疗服务,,,,,,,,
zt,2,000607,华媒控股,9.951457023620605,4.53,104619589,4009331621.0400004,4610173824.4800005,2.6094021797180176,105206387.0,092500,092500,0.0,1/1,1.0,广告营销,,,,,,,,
zt,3,001216,华瓷股份,10.013717651367188,24.06,51219505,5938878947.94,7024517564.16,0.8624439835548401,278775424.0,092500,092500,0.0,5/5,5.0,家居用品,,,,,,,,
zt,4,600743,华远控股,9.905660629272461,2.33,38187388,5466415036.42,5466415050.400001,0.6985819339752197,99322687.0,092500,092500,0.0,1/1,1.0,房地产服,,,,,,,,
zt,5,600630,龙头股份,10.012063026428223,9.12,418014128,3874737764.64,3874737791.9999995,10.797085762023926,69662208.0,092501,110155,1.0,3/3,3.0,服装家纺,,,,,,,,
zt,6,600301,华锡有色,9.993396759033203,49.97,286094576,13758523979.57,31609396575.84,2.0795295238494873,186263824.0,092502,093102,1.0,1/1,1.0,小金属,,,,,,,,
zt,7,600825,新华传媒,9.98116683959961,5.84,14523846,6102145044.0,6102145079.04,0.2380121499300003,2488694228.0,092502,092502,0.0,1/1,1.0,出版,,,,,,,,
zt,8,603230,内蒙新华,10.014836311340332,14.83,557005248,5242746090.0,5242746208.64,10.628140449523926,86492326.0,092502,093711,3.0,4/4,4.0,出版,,,,,,,,
zt,9,002453,华软科技,9.925093650817871,5.87,252961325,3775005675.86,4768594994.4,6.707918643951416,109824037.0,093000,093000,0.0,3/3,3.0,化学制品,,,,,,,,
zt,10,002614,奥佳华,10.035211563110352,6.25,68855612,2757970693.75,3898370000.0,2.4998083114624023,134393750.0,093000,093000,0.0,1/1,1.0,其他家电,,,,,,,,
zt,11,002172,澳洋健康,10.03787899017334,5.81,667881088,4445467641.299999,4448905058.08,15.074483871459961,78997408.0,093003,093306,2.0,1/1,1.0,医疗服务,,,,,,,,
zt,12,601123,马矿股份,10.011248588562012,19.56,295928272,1874400726.4799998,24148993194.239998,15.859630584716797,90631885.0,093003,093003,0.0,6/3,2.0,冶钢原料,,,,,,,,
zt,13,000910,大亚圣象,10.017574310302734,6.26,302079824,3425691882.5,3426708375.04,9.089484214782715,11647982.0,093006,141115,2.0,2/2,2.0,家居用品,,,,,,,,
zt,14,002303,美盈森,10.0,6.27,213746074,6692369301.75,9601399473.599998,3.210078477859497,107545548.0,093015,093015,0.0,4/2,1.0,包装印刷,,,,,,,,
zt,15,603316,诚邦股份,10.00599193572998,18.36,415880176,4851887040.0,4957181786.88,8.689749717712402,51245881.0,093017,093308,2.0,2/2,2.0,半导体,,,,,,,,
zt,16,601811,新华文轩,10.0,15.29,643302608,12108210631.0,18865429012.32,5.403228282928467,19101797.0,093021,101048,6.0,2/2,2.0,出版,,,,,,,,
zt,17,000756,新华制药,9.970015525817871,14.67,309278672,7318465604.37,10220346064.8,4.259877681732178,122493179.0,093051,093051,0.0,1/1,1.0,化学制药,,,,,,,,
zt,18,600448,华纺股份,9.887005805969238,3.89,938093856,2449998485.1800003,2449998492.96,39.33420181274414,24319035.0,093100,140633,3.0,3/3,3.0,纺织制造,,,,,,,,
zt,19,600664,哈药股份,10.0,8.25,1573224096,20777706477.0,20777706444.0,7.700949192047119,365287378.0,093105,093220,1.0,1/1,1.0,化学制药,,,,,,,,
zt,20,603580,艾艾精工,9.995387077331543,71.53,524072896,9347053996.0,9347053996.0,5.668410301208496,30722135.0,093125,094231,1.0,1/1,1.0,塑料,,,,,,,,
zt,21,002860,星帅尔,9.988038063049316,18.39,451465536,6361806992.1,6475948756.8,7.130138874053955,41708703.0,093154,094824,6.0,1/1,1.0,家电零部,,,,,,,,
zt,22,001376,百通能源,10.031596183776855,13.93,227033640,2994815060.09,6806198000.0,7.714442729949951,119804686.0,093212,093212,0.0,2/2,2.0,电力,,,,,,,,
zt,23,688315,诺禾致源,20.0,18.18,320788160,7566516000.0,7566516000.0,4.300349235534668,60398250.0,093227,093824,1.0,1/1,1.0,医疗服务,,,,,,,,
zt,24,002178,延华智能,9.956709861755371,5.08,237639734,3616101139.64,3617737280.64,6.604944705963135,7254748.0,093348,093348,0.0,1/1,1.0,软件开发,,,,,,,,
zt,25,603068,博通集成,9.997488021850586,43.79,901143552,6646766699.01,6646766699.01,13.706850051879883,19451518.0,093421,130806,10.0,2/2,2.0,半导体,,,,,,,,
zt,26,002367,康力电梯,9.982486724853516,6.28,173780026,4991621770.68,5009841463.68,3.552574396133423,48861533.0,093436,093533,1.0,1/1,1.0,专用设备,,,,,,,,
zt,27,001389,广合科技,9.998225212097168,185.93,2569046592,28330450472.420002,87893549520.96,9.167903900146484,87430235.0,093439,134839,1.0,1/1,1.0,元件,,,,,,,,
zt,28,603636,南威软件,9.969788551330566,7.28,399876784,4225024607.44,4225024643.84,9.618610382080078,8106826.0,093454,141739,3.0,1/1,1.0,IT服务Ⅱ,,,,,,,,
zt,29,002589,瑞康医药,10.091742515563965,3.6,684959264,4916129572.8,5416957670.400001,14.229517936706543,80446183.0,093518,094527,2.0,2/2,2.0,医药商业,,,,,,,,
zt,30,603663,三祥新材,10.00220775604248,49.82,1157005264,29551576303.14,29571663776.96,3.967477321624756,58644467.0,093522,132804,2.0,1/1,1.0,化学原料,,,,,,,,
zt,31,601086,国芳集团,10.024907112121582,17.67,1094392256,11768220000.000002,11768220000.000002,9.47368335723877,75268899.0,093654,094727,3.0,17/9,2.0,一般零售,,,,,,,,
zt,32,603001,奥康国际,9.971237182617188,11.47,322960944,4599240600.0,4599240600.0,7.12280797958374,7366034.0,093656,150000,6.0,2/2,2.0,服装家纺,,,,,,,,
zt,33,600218,全柴动力,9.973404884338379,8.27,310227856,3602411330.1299996,3602411338.3999996,8.716850280761719,27280249.0,093702,133805,4.0,1/1,1.0,汽车零部,,,,,,,,
zt,34,688112,鼎阳科技,20.002614974975586,91.79,942813904,14649397890.570002,14649397890.570002,6.571447372436523,1976330.0,093813,145407,15.0,1/1,1.0,通用设备,,,,,,,,
zt,35,002585,双星新材,10.043290138244629,12.71,1570497648,11268581625.480001,14506210347.68,14.332657814025879,142586766.0,093948,093948,0.0,7/4,1.0,塑料,,,,,,,,
zt,36,600613,神奇制药,9.98810863494873,9.25,809651088,4433709796.5,4940162596.0,18.593297958374023,54843250.0,094025,094525,2.0,1/1,1.0,化学制药,,,,,,,,
zt,37,600281,华阳新材,9.933774948120117,4.98,72599427,2561722084.5,2561722119.36,2.9042956829071045,72795648.0,094139,094139,0.0,1/1,1.0,小金属,,,,,,,,
zt,38,603319,美湖股份,10.017093658447266,32.18,968570048,10913836638.039999,10913836702.4,8.943132400512695,7633096.0,094246,130443,5.0,1/1,1.0,汽车零部,,,,,,,,
zt,39,002869,金溢科技,10.00645637512207,17.04,129065234,2700077954.16,3014631446.64,4.835866451263428,31020468.0,094400,095248,1.0,1/1,1.0,计算机设,,,,,,,,
zt,40,603258,电魂网络,10.0,14.19,65391130,3424633756.5,3444831802.5,1.9618676900863647,25254056.0,094510,094510,0.0,1/1,1.0,游戏Ⅱ,,,,,,,,
zt,41,002084,海鸥住工,10.071942329406738,6.12,330942288,3945162785.04,3953863013.76,8.623808860778809,50982880.0,094809,094809,0.0,1/1,1.0,家居用品,,,,,,,,
zt,42,600894,广日股份,10.0,7.92,144019157,6677704004.4,6709873294.08,2.1976258754730225,6775560.0,094909,100751,1.0,1/1,1.0,专用设备,,,,,,,,
zt,43,603042,华脉科技,10.0,19.03,701683328,3972832051.76,3972832051.76,18.158140182495117,79146531.0,094920,101450,2.0,4/2,1.0,通信设备,,,,,,,,
zt,44,001373,翔腾新材,10.00339126586914,32.44,84743413,1361198036.08,2228202646.72,6.374006748199463,54307998.0,094924,094924,0.0,1/1,1.0,光学光电,,,,,,,,
zt,45,603289,泰瑞机器,10.052355766296387,10.51,182383943,3083611655.74,3083611634.72,5.967064380645752,7487324.0,095001,132252,6.0,1/1,1.0,专用设备,,,,,,,,
zt,46,600593,大连圣亚,10.011324882507324,48.57,735519424,6255816000.0,6335713650.0,12.058444023132324,19000584.0,095105,143053,27.0,3/2,1.0,旅游及景,,,,,,,,
zt,47,600785,新华百货,9.980620384216309,11.35,310131440,3585281039.2,3585281039.2,8.872333526611328,50964416.0,095310,095310,0.0,1/1,1.0,一般零售,,,,,,,,
zt,48,920478,峆一药业,29.905561447143555,12.38,241912643,829511884.58,1364179188.4,30.505292892456055,19057833.0,095551,102100,2.0,1/1,1.0,化学制药,,,,,,,,
zt,49,002349,精华制药,9.974746704101562,8.71,724683280,7091515708.68,7239127527.840001,10.446798324584961,91740235.0,095606,095606,0.0,1/1,1.0,中药Ⅱ,,,,,,,,
zt,50,002388,新亚制程,9.95850658416748,7.95,408627840,4024476785.25,4026947080.8,10.425138473510742,123925395.0,095818,101754,1.0,4/2,1.0,其他电子,,,,,,,,
zt,51,002724,海洋王,9.957924842834473,7.84,294527360,4441189785.76,6048544320.0,6.8791584968566895,78742764.0,100118,101127,1.0,4/2,1.0,照明设备,,,,,,,,
zt,52,600721,百花医药,10.041841506958008,13.15,1415415488,5056801400.25,5056801360.8,29.022350311279297,81965883.0,100207,100207,0.0,3/2,1.0,医疗服务,,,,,,,,
zt,53,688026,洁特生物,19.98097038269043,25.22,398048992,3539991857.74,3539991857.74,11.478110313415527,11681525.0,100249,104343,7.0,1/1,1.0,医疗器械,,,,,,,,
zt,54,001234,泰慕士,10.012412071228027,26.59,87861883,2434088485.0,2887397464.0,3.6783316135406494,26114039.0,100512,100512,0.0,1/1,1.0,服装家纺,,,,,,,,
zt,55,600992,贵绳股份,9.989593505859375,10.57,159855131,2590601300.0,2590601300.0,6.28400993347168,4304104.0,100757,100757,0.0,1/1,1.0,通用设备,,,,,,,,
zt,56,002792,通宇通讯,10.0,34.54,2334817504,11708867577.66,18093296545.28,20.31264305114746,39783172.0,101206,141600,1.0,1/1,1.0,通信设备,,,,,,,,
zt,57,002080,中材科技,9.996678352355957,66.24,8542074368,111158906204.15999,111158906204.15999,7.941944122314453,98920630.0,101333,145357,3.0,1/1,1.0,玻璃玻纤,,,,,,,,
zt,58,600714,金瑞矿业,10.0,19.25,445630512,5547393255.25,5547393236.0,8.297977447509766,63688625.0,101417,101417,0.0,1/1,1.0,化学原料,,,,,,,,
zt,59,001317,三羊马,9.99816608428955,59.96,666207440,5126730919.32,5130525248.08,13.41596794128418,21561616.0,101439,131336,7.0,2/2,2.0,铁路公路,,,,,,,,
zt,60,600812,华北制药,9.956709861755371,5.08,441921408,8715910279.6,8715910269.44,5.1860575675964355,20451780.0,101721,102036,3.0,1/1,1.0,化学制药,,,,,,,,
zt,61,000829,天音控股,10.022522926330566,9.77,524072544,10005746866.13,10015231220.64,5.3237199783325195,16090613.0,101909,135742,2.0,1/1,1.0,专业连锁,,,,,,,,
zt,62,300642,透景生命,19.98820686340332,20.35,691404672,2802308369.8500004,3302240104.3500004,25.735687255859375,96007230.0,102027,102027,0.0,1/1,1.0,医疗器械,,,,,,,,
zt,63,002321,华英农业,10.047846794128418,2.3,260741049,4888075020.7,4905647147.2,5.556078910827637,58018859.0,102424,102424,0.0,3/2,1.0,养殖业,,,,,,,,
zt,64,600127,金健米业,9.98603343963623,15.75,2756484592,10108085683.5,10108085652.0,28.448190689086914,127612863.0,102445,105054,2.0,3/3,3.0,农产品加,,,,,,,,
zt,65,603151,邦基科技,10.011990547180176,18.35,75680760,3143021030.0000005,3143021030.0000005,2.4836678504943848,4495750.0,102833,102833,0.0,1/1,1.0,饲料,,,,,,,,
zt,66,600587,新华医疗,10.016420364379883,13.4,326271280,8129036956.6,8129036889.6,4.10907506942749,22697094.0,103028,103028,0.0,1/1,1.0,医疗器械,,,,,,,,
zt,67,002022,科华生物,9.98217487335205,6.17,142866176,3173379382.33,3278720526.56,4.600872039794922,33345148.0,103157,103157,0.0,1/1,1.0,医疗器械,,,,,,,,
zt,68,002246,北化股份,10.00837516784668,26.27,949328288,14423144038.38,14423144196.0,6.690306186676025,26086687.0,103221,142633,12.0,1/1,1.0,化学制品,,,,,,,,
zt,69,600712,南宁百货,10.09345817565918,5.89,420821024,3172638905.19,3208020070.3999996,13.592668533325195,6444249.0,103309,143048,8.0,1/1,1.0,一般零售,,,,,,,,
zt,70,688137,近岸蛋白,20.004037857055664,118.84,1089562752,8308990114.52,8308990114.52,13.973736763000488,13614072.0,103353,143853,14.0,1/1,1.0,生物制品,,,,,,,,
